iter	Logloss
0	0.6830855526
1	0.6694662789
2	0.6608561323
3	0.6530601387
4	0.6455443997
5	0.6393553104
6	0.6336765227
7	0.6282589407
8	0.6225546892
9	0.6160719871
10	0.6086190642
11	0.60397914
12	0.6008125549
13	0.595181154
14	0.5920620833
15	0.5871386688
16	0.5853731158
17	0.5827751611
18	0.5808675391
19	0.577330046
20	0.5753742465
21	0.5739074086
22	0.5698808621
23	0.5682178413
24	0.5669784145
25	0.5653427048
26	0.5636858482
27	0.5623018034
28	0.5610873182
29	0.5599331154
30	0.5587349954
31	0.5577610382
32	0.555946135
33	0.5540060007
34	0.552884269
35	0.5520514279
36	0.550486517
37	0.5493898777
38	0.5482118848
39	0.5468724948
40	0.5453987254
41	0.5448538477
42	0.5442577697
43	0.5432873484
44	0.5423523867
45	0.5415672793
46	0.540845103
47	0.540021362
48	0.5393323923
49	0.5387383929
50	0.5381568576
51	0.5376747555
52	0.5370558794
53	0.536370926
54	0.5358288038
55	0.5348493126
56	0.5339838202
57	0.5335720066
58	0.5328053831
59	0.5323675576
60	0.5317246287
61	0.530960432
62	0.530356998
63	0.5295762349
64	0.5290293192
65	0.5281716695
66	0.5275316567
67	0.5269676742
68	0.5263744807
69	0.5257058107
70	0.5252004553
71	0.5248665622
72	0.5245064494
73	0.523349329
74	0.5219569597
75	0.5215083471
76	0.5211230808
77	0.5205751964
78	0.5200523265
79	0.5197852347
80	0.5193436586
81	0.5187337987
82	0.5184355664
83	0.5176088781
84	0.5170199766
85	0.5161839711
86	0.515755443
87	0.5153683992
88	0.514767896
89	0.5143709721
90	0.513901226
91	0.5135510729
92	0.5131596721
93	0.5126124487
94	0.5117478057
95	0.5112632992
96	0.5106781618
97	0.5100721674
98	0.5097423666
99	0.5091355706
100	0.5086104612
101	0.5080867779
102	0.5076918806
103	0.5073693346
104	0.5068464369
105	0.5060272691
106	0.5053675225
107	0.505004965
108	0.5045305983
109	0.5040943956
110	0.5032570511
111	0.5025978786
112	0.5021973965
113	0.5014468279
114	0.5011670399
115	0.5009805812
116	0.5005355959
117	0.5000658753
118	0.4997910646
119	0.4993843815
120	0.498733132
121	0.4982153483
122	0.4980451917
123	0.4973864426
124	0.4966999509
125	0.4964565569
126	0.496177064
127	0.4957304999
128	0.4951245065
129	0.4946339046
130	0.4938526357
131	0.493402448
132	0.4930055524
133	0.4927782485
134	0.4924574284
135	0.4918479699
136	0.4914528349
137	0.4910515684
138	0.490801286
139	0.4902787977
140	0.4898343467
141	0.489159018
142	0.4889015539
143	0.4884653686
144	0.4880436595
145	0.4872419967
146	0.486642364
147	0.4863421971
148	0.4861947233
149	0.4855971178
150	0.4851920335
151	0.4848102025
152	0.484230057
153	0.4839229212
154	0.4835420114
155	0.4830294627
156	0.4826706053
157	0.4822082486
158	0.4817797701
159	0.4809971973
160	0.4805387915
161	0.4800243683
162	0.4794675127
163	0.4788713744
164	0.4786168373
165	0.4782185267
166	0.4778902114
167	0.4776117995
168	0.4772283604
169	0.4769110925
170	0.4762560037
171	0.475835944
172	0.4754384079
173	0.4750271108
174	0.4749346062
175	0.4747287058
176	0.474391204
177	0.4740748223
178	0.4739146246
179	0.4735461288
180	0.4734505309
181	0.4732659253
