iter	Passed	Remaining
0	14	10159
1	27	9564
2	48	11198
3	65	11311
4	78	10900
5	91	10577
6	104	10317
7	116	10050
8	124	9588
9	131	9094
10	137	8602
11	142	8180
12	148	7821
13	153	7511
14	157	7209
15	162	6962
16	169	6827
17	174	6629
18	179	6445
19	185	6291
20	189	6134
21	194	5991
22	199	5863
23	203	5745
24	208	5617
25	212	5496
26	216	5386
27	219	5276
28	223	5174
29	227	5082
30	231	4998
31	235	4917
32	239	4838
33	243	4763
34	247	4693
35	250	4627
36	254	4566
37	258	4506
38	262	4447
39	266	4391
40	270	4339
41	273	4289
42	277	4243
43	281	4197
44	285	4153
45	289	4113
46	293	4073
47	297	4036
48	301	4002
49	305	3967
50	308	3930
51	312	3898
52	316	3865
53	320	3837
54	324	3807
55	328	3777
56	332	3748
57	335	3718
58	339	3691
59	343	3666
60	347	3641
61	351	3616
62	355	3596
63	360	3578
64	363	3555
65	367	3533
66	371	3510
67	375	3491
68	379	3469
69	383	3448
70	387	3433
71	391	3413
72	395	3395
73	399	3378
74	403	3359
75	407	3343
76	410	3325
77	414	3307
78	418	3290
79	422	3275
80	426	3259
81	430	3243
82	434	3227
83	438	3214
84	442	3198
85	446	3184
86	449	3168
87	453	3154
88	457	3141
89	461	3127
90	465	3113
91	469	3100
92	473	3088
93	477	3075
94	480	3062
95	484	3049
96	488	3037
97	492	3023
98	496	3011
99	499	2999
100	503	2988
101	507	2976
102	511	2964
103	515	2952
104	518	2940
105	523	2932
106	527	2920
107	530	2909
108	534	2899
109	538	2889
110	542	2878
111	546	2869
112	550	2858
113	554	2848
114	560	2849
115	565	2846
116	571	2846
117	574	2835
118	578	2826
119	582	2817
120	586	2807
121	590	2797
122	594	2787
123	598	2778
124	602	2769
125	605	2760
126	609	2750
127	613	2741
128	617	2732
129	621	2723
130	624	2714
131	628	2705
132	632	2696
133	636	2687
134	639	2677
135	644	2670
136	648	2662
137	651	2655
138	655	2646
139	659	2638
140	663	2630
141	667	2622
142	671	2614
143	674	2605
144	678	2597
145	682	2590
146	686	2582
147	690	2574
148	694	2566
149	698	2559
150	701	2552
151	705	2544
152	709	2537
153	713	2529
154	717	2522
155	721	2515
156	725	2508
157	729	2501
158	733	2494
159	736	2487
160	740	2480
161	744	2473
162	748	2466
163	752	2459
164	756	2452
165	760	2446
166	764	2439
167	768	2433
168	772	2426
169	776	2419
