iter	Logloss
0	0.6851289533
1	0.6766239347
2	0.6682491509
3	0.6620122997
4	0.6543423179
5	0.6469475906
6	0.6409715806
7	0.634008359
8	0.6277013603
9	0.6229525002
10	0.6180768565
11	0.6122430522
12	0.6074431522
13	0.6030446804
14	0.5964703385
15	0.5894257335
16	0.5856890828
17	0.5801794845
18	0.5748748768
19	0.5698570546
20	0.5658296947
21	0.5611688087
22	0.5567249847
23	0.5522324578
24	0.5476867666
25	0.5437531382
26	0.5391787817
27	0.5357750134
28	0.5317926451
29	0.527444086
30	0.5234460504
31	0.5200890423
32	0.5170947372
33	0.5135893207
34	0.5112057987
35	0.5083928932
36	0.5046747151
37	0.5004353255
38	0.4975019986
39	0.4962015758
40	0.4939009424
41	0.4908590259
42	0.4873919788
43	0.4842462839
44	0.4818799732
45	0.4787083303
46	0.4778813136
47	0.4747782303
48	0.4724676875
49	0.4696102163
50	0.4674284024
51	0.4647112783
52	0.4622335202
53	0.4592415133
54	0.4566000339
55	0.453759226
56	0.4513844995
57	0.4499450147
58	0.4477246787
59	0.4454632714
60	0.4438547205
61	0.4420625728
62	0.4393037415
63	0.4371299728
64	0.4350681402
65	0.4322952484
66	0.4300352905
67	0.427996919
68	0.4253027304
69	0.4235255638
70	0.421014577
71	0.4191509874
72	0.4170166839
73	0.4149829484
74	0.4123402813
75	0.410632048
76	0.4086837196
77	0.4077547018
78	0.4062947366
79	0.4044267349
80	0.4025219506
81	0.4012764101
82	0.3990577524
83	0.3962345477
84	0.3944044592
85	0.3917700997
86	0.3901912655
87	0.3885524742
88	0.3869619517
89	0.3843496751
90	0.3827191701
91	0.3809304404
92	0.379117161
93	0.3778993835
94	0.3762563251
95	0.3746490327
96	0.3727919985
97	0.3714402876
98	0.3690565537
99	0.3681999255
100	0.3667275458
101	0.3656230668
102	0.3638463688
103	0.3626207777
104	0.360855391
105	0.3589609991
106	0.3577733408
107	0.3561120145
108	0.3549854432
109	0.3530517538
110	0.3518892861
111	0.3499651484
112	0.3482122214
113	0.346307875
114	0.3453061131
115	0.3434435269
116	0.3425765343
117	0.3410583957
118	0.3396235547
119	0.3377258363
120	0.3365081601
121	0.3355837329
122	0.3344836489
123	0.3329591837
124	0.331423543
125	0.3305156678
126	0.3296807819
127	0.3282770337
128	0.3274614609
129	0.3257416183
130	0.3246781867
131	0.3236961971
132	0.321606963
133	0.3196492002
134	0.3179503545
135	0.3167874767
136	0.3155195988
137	0.3145053563
138	0.3126961792
139	0.3115251029
140	0.309951427
141	0.3083788336
142	0.3071787857
143	0.306014533
144	0.3050173724
145	0.3039186518
146	0.3026479402
147	0.3012817305
148	0.3005071805
149	0.2992697902
150	0.2988571384
151	0.2978365052
152	0.2965164078
153	0.2956122721
154	0.2944611615
155	0.2933839101
156	0.2926651781
157	0.2919126185
158	0.2907552973
159	0.2894649028
160	0.2885370124
161	0.2881207422
162	0.2866001902
163	0.2860738122
164	0.2847380207
165	0.2835893665
166	0.282034343
167	0.2811551293
168	0.2795931631
169	0.2786015146
170	0.2772721203
171	0.276054169
172	0.2750919871
173	0.2742855556
174	0.2731245269
175	0.2716103273
176	0.270503127
177	0.2697051088
178	0.2687477089
179	0.2673624044
180	0.2661026839
181	0.2655021222
182	0.2646739671
183	0.263593629
184	0.2633354448
185	0.2621604424
186	0.261144296
187	0.2598474587
