iter	Passed	Remaining
0	475	189637
1	918	182877
2	1330	176029
3	1334	132069
4	1780	140676
5	2177	143003
6	2747	154270
7	3182	155958
8	3605	156651
9	3615	141009
10	3624	128182
11	4059	131272
12	4440	132178
13	4790	132092
14	5321	136588
15	5720	137301
16	6076	136903
17	6460	137108
18	6850	137368
19	7208	136959
20	7779	140406
21	8148	140004
22	8570	140478
23	9002	141038
24	9372	140591
25	9781	140703
26	10286	142100
27	10944	145407
28	11382	145621
29	11807	145621
30	12200	145223
31	12599	144893
32	12995	144524
33	13370	143931
34	13781	143724
35	14169	143270
36	14698	144205
37	15189	144703
38	15713	145452
39	15740	141661
40	16144	141363
41	16536	140955
42	16924	140514
43	17325	140175
44	17718	139779
45	18124	139479
46	18135	136208
47	18519	135806
48	18896	135359
49	19283	134987
50	19659	134532
51	20093	134469
52	20462	133973
53	20851	133605
54	21267	133404
55	21687	133225
56	22065	132782
57	22449	132373
58	22913	132430
59	23314	132117
60	23705	131742
61	24071	131230
62	24450	130791
63	24841	130420
64	25233	130047
65	25599	129550
66	26027	129358
67	26670	130214
68	27104	130022
69	27526	129768
70	27952	129528
71	28340	129105
72	28733	128708
73	29129	128327
74	29531	127968
75	29930	127599
76	30366	127381
77	30766	127010
78	31154	126589
79	31556	126227
80	32314	127263
81	32718	126883
82	33298	127177
83	33666	126648
84	34053	126199
85	34640	126478
86	35280	126929
87	35663	126442
88	36220	126568
89	36788	126715
90	37418	127058
91	38087	127510
92	38694	127732
93	39160	127481
94	39598	127130
95	40042	126801
96	40701	127141
97	41274	127191
98	41722	126852
99	42159	126477
100	42589	126081
101	42989	125597
102	43464	125329
103	43853	124812
104	44238	124289
105	44638	123808
106	45010	123252
107	45450	122884
108	45942	122653
109	46400	122328
110	46904	122119
111	47414	121922
112	48009	121935
113	48556	121816
114	48964	121347
115	49478	121135
116	50145	121293
117	50630	120999
118	51108	120684
119	51737	120720
120	52196	120352
121	52691	120067
122	53227	119869
123	53673	119466
124	54119	119062
125	54536	118594
126	55025	118282
127	55448	117828
128	55940	117518
129	56430	117200
130	56794	116623
131	57178	116089
132	57644	115722
133	58187	115505
134	58593	115017
135	59017	114562
136	59433	114094
137	59840	113610
138	60192	113023
139	60621	112583
140	61039	112122
141	61523	111781
142	61935	111309
143	62378	110894
144	62916	110645
145	63400	110299
146	63837	109869
147	64248	109396
148	64658	108921
149	65061	108435
150	65455	107937
151	65836	107417
152	66234	106926
153	66672	106503
154	67098	106059
155	67505	105585
156	67884	105070
157	68318	104639
158	68695	104123
159	69065	103597
160	69475	103134
161	69679	102369
162	70086	101905
163	70507	101461
164	70892	100967
165	71271	100466
166	71690	100023
167	72072	99528
168	72521	99126
169	72988	98749
170	73412	98312
171	73897	97957
172	74335	97539
173	74761	97103
174	75215	96706
175	75629	96255
176	76166	95960
177	76676	95629
178	77090	95179
179	77484	94703
180	77880	94230
181	78340	93836
182	78778	93415
183	79209	92985
184	79640	92555
185	80149	92214
186	80553	91753
187	80953	91287
188	81359	90829
189	81745	90350
190	82145	89886
191	82545	89423
192	82932	88948
193	83346	88501
194	83756	88051
195	84156	87591
196	84541	87116
197	84958	86675
198	85351	86209
199	85730	85730
200	86118	85261
201	86541	84828
202	86929	84360
203	87321	83897
204	87336	83076
205	87728	82617
206	88166	82203
207	88291	81499
208	88692	81054
209	89241	80742
210	89638	80292
211	90064	79868
212	90492	79446
213	90495	78655
214	90893	78210
215	91350	77817
216	91849	77458
217	92261	77025
218	92644	76569
219	93021	76108
220	93415	75662
221	93837	75238
222	94219	74784
223	94644	74363
224	95043	73922
225	95442	73482
226	95820	73026
227	96203	72574
228	96589	72125
229	96992	71690
230	97384	71246
231	97775	70803
232	98187	70374
233	98574	69928
234	98947	69473
235	99324	69022
236	99738	68596
237	100116	68146
238	100483	67689
239	100906	67270
240	101303	66834
241	101706	66403
242	102121	65979
243	102501	65533
244	102888	65092
245	103296	64665
246	103665	64213
247	104043	63768
248	104452	63342
249	104826	62895
250	105196	62447
251	105596	62016
252	105967	61570
253	106379	61147
254	106813	60737
255	106830	60091
256	107280	59693
257	107694	59273
258	108083	58840
259	108465	58404
260	108839	57964
261	109209	57522
262	109583	57083
263	109959	56645
264	110387	56234
265	110781	55807
266	111133	55358
267	111588	54961
268	111982	54534
269	112356	54097
270	112729	53660
271	113141	53243
272	113552	52824
273	113961	52405
274	114368	51985
275	114777	51566
276	115188	51148
277	115605	50733
278	116019	50316
279	116392	49882
280	116818	49470
281	117200	49041
282	117586	48613
283	118024	48207
284	118384	47769
285	118818	47361
286	119196	46931
287	119594	46508
288	119996	46088
289	120381	45662
290	120746	45228
291	121146	44807
292	121542	44385
293	122025	43995
294	122440	43580
295	122448	43022
296	122870	42611
297	123297	42202
298	123727	41794
299	124220	41406
300	124639	40994
301	125086	40590
302	125512	40180
303	126069	39811
304	126480	39395
305	126902	38983
306	127313	38567
307	127718	38149
308	128117	37730
309	128512	37310
310	128952	36902
311	129422	36503
312	129834	36088
313	130263	35677
314	130670	35260
315	131094	34847
316	131535	34439
317	131924	34018
318	132328	33600
319	132701	33175
320	133095	32755
321	133484	32334
322	133875	31914
323	134264	31494
324	134697	31084
325	135078	30661
326	135425	30232
327	135873	29825
328	136281	29410
329	136687	28994
330	137073	28574
331	137461	28154
332	137898	27745
333	138332	27335
334	138741	26920
335	139179	26510
336	139584	26094
337	139958	25672
338	140333	25251
339	140757	24839
340	141155	24422
341	141578	24010
342	141983	23594
343	142414	23183
344	142822	22768
345	143250	22356
346	143707	21949
347	144113	21534
348	144580	21127
349	145122	20731
350	145732	20344
351	146391	19962
352	146794	19544
353	147279	19138
354	147875	18744
355	148313	18330
356	148891	17933
357	149331	17519
358	149760	17103
359	150208	16689
360	150605	16270
361	151009	15851
362	151394	15431
363	151774	15010
364	152148	14589
365	152650	14180
366	153103	13766
367	153595	13356
368	154055	12942
369	154537	12530
370	155191	12130
371	155685	11718
372	156216	11307
373	156708	10894
374	157238	10482
375	157886	10077
376	158285	9656
377	158838	9244
378	159252	8823
379	159612	8400
380	160008	7979
381	160572	7566
382	161008	7146
383	161475	6728
384	161923	6308
385	162335	5887
386	162747	5466
387	163120	5044
388	163607	4626
389	164070	4206
390	164581	3788
391	165125	3369
392	165536	2948
393	165954	2527
394	166359	2105
395	166770	1684
396	167205	1263
397	167566	842
398	168000	421
399	168488	0
